sample	library	embryo	somite	stage	date	size	conc	librarySize	retainedFragments	mapped	unique	dupRate	goodQuality
e1_SI-2	do26181	e1	SI	21	05.04.18	328	18	26,285,398	0.51	23805193	15699543	0.32	13500945
e1_SII-2	do26182	e1	SII	21	05.04.18	368	18.6	27,923,115	0.54	25363674	16868650	0.30	14956907
e1_SIII-2	do26183	e1	SIII	21	05.04.18	344	18.1	22,545,472	0.56	20472674	14252736	0.28	12675623
e2_SI-2	do26184	e2	SI	21	05.04.18	396	8.87	30,698,288	0.56	27882112	18694786	0.29	17124982
e2_SII-2	do26185	e2	SII	21	05.04.18	421	6.42	42,503,669	0.51	38660336	23286344	0.36	21466478
e2_SIII-2	do26186	e2	SIII	21	05.04.18	337	12.1	21,572,118	0.58	19607938	14192023	0.25	12516018
e3_SI-2	do26187	e3	SI	21	05.04.18	376	14.9	27,883,412	0.56	25342010	16961929	0.29	15491632
e3_SII-2	do26188	e3	SII	21	05.04.18	409	8.44	34,035,542	0.54	30921806	20205853	0.31	18337752
e3_SIII-2	do26189	e3	SIII	21	05.04.18	414	11.2	33,237,354	0.53	30189528	19287813	0.32	17771925
e5_SI-2	do26190	e5	SI	8	06.04.18	486	5.78	41,520,261	0.48	37764252	21474949	0.39	20125635
e5_SII-2	do26191	e5	SII	8	06.04.18	425	9.5	30,371,932	0.51	27596028	16843741	0.35	15485088
e5_SIII-2	do26192	e5	SIII	8	06.04.18	469	10.76	32,466,242	0.56	29472826	19147566	0.30	18121596
e6_SI-2	do26193	e6	SI	8	06.04.18	425	5.86	49,200,969	0.50	44628904	26846785	0.36	24700063
e6_SII-2	do26194	e6	SII	8	06.04.18	439	7.1	43,376,906	0.51	39417510	23855029	0.35	21925536
e9_SI-2	do26195	e9	SI	18	12.04.18	423	6.84	32,624,338	0.45	29564356	16503078	0.40	14656807
e9_SII-2	do26196	e9	SII	18	12.04.18	414	9.7	44,416,466	0.49	40355298	23754141	0.37	21837354
e9_SIII-2	do26197	e9	SIII	18	12.04.18	437	7.46	48,591,338	0.50	44136194	26668661	0.36	24342954
e13_SI-2	do26198	e13	SI	21	26.04.18	441	7.38	36,859,933	0.42	33359197	16685449	0.45	15323118
e13_SII-2	do26199	e13	SII	21	26.04.18	489	6.22	46,126,231	0.44	41858744	21185446	0.44	20090201
e13_SIII-2	do26200	e13	SIII	21	26.04.18	447	6.76	31,970,370	0.44	28986376	15388171	0.42	14096109
e14_SII-2	do26201	e14	SII	18	26.04.18	473	7.72	57,427,746	0.44	52127849	26828129	0.44	25503529
e14_SIII-2	do26202	e14	SIII	18	26.04.18	425	7.56	43,138,589	0.50	39100379	23329698	0.36	21628928
