sample	library	embryo	somite	stage	date	size	conc	somiteNumber	QC	group	use
e1_SI.2	do26259	e1	SI	21	05.04.18	479	5.66	21	1	21.SI	1
e1_SII.2	do26260	e1	SII	21	05.04.18	522	4.32	20	1	21.SII	1
e1_SIII.2	do26261	e1	SIII	21	05.04.18	477	3.76	19	1	21.SIII	1
e2_SI.2	do26262	e2	SI	21	05.04.18	469	4.46	21	1	21.SI	1
e2_SIII.2	do26263	e2	SIII	21	05.04.18	412	3.68	19	1	21.SIII	1
e3_SI.2	do26264	e3	SI	21	05.04.18	466	8.98	21	1	21.SI	1
e3_SII.2	do26265	e3	SII	21	05.04.18	488	7.88	20	1	21.SII	1
e3_SIII.2	do26266	e3	SIII	21	05.04.18	514	9.92	19	1	21.SIII	1
e5_SI.2	do26267	e5	SI	8	06.04.18	474	2.42	8	1	8.SI	1
e5_SII.2	do26268	e5	SII	8	06.04.18	442	3.56	7	1	8.SII	1
e5_SIII.2	do26269	e5	SIII	8	06.04.18	439	3	6	1	8.SIII	1
e6_SI.2	do26270	e6	SI	8	06.04.18	408	2.76	8	1	8.SI	1
e6_SII.2	do26271	e6	SII	8	06.04.18	403	1.88	7	1	8.SII	1
e6_SIII.2	do26272	e6	SIII	8	06.04.18	390	1.5	6	1	8.SIII	1
e9_SI.2	do26273	e9	SI	18	12.04.18	484	2.36	18	1	18.SI	1
e9_SII.2	do26274	e9	SII	18	12.04.18	416	3.04	17	1	18.SII	1
e9_SIII.2	do26275	e9	SIII	18	12.04.18	438	4.98	16	1	18.SIII	1
e13_SI.2	do26276	e13	SI	21	26.04.18	469	9.62	21	1	21.SI	1
e13_SII.2	do26277	e13	SII	21	26.04.18	500	2.4	20	1	21.SII	1
e13_SIII.2	do26278	e13	SIII	21	26.04.18	496	3.76	19	1	21.SIII	1
e14_SI.2	do26279	e14	SI	18	26.04.18	500	6.16	18	1	18.SI	1
e14_SII.2	do26280	e14	SII	18	26.04.18	474	5.06	17	1	18.SII	1
e14_SIII.2	do26281	e14	SIII	18	26.04.18	467	3.98	16	1	18.SIII	1
e15_SI.2	do26282	e15	SI	18	26.04.18	474	3.18	18	1	18.SI	1
e15_SII.2	do26283	e15	SII	18	26.04.18	497	2.9	17	1	18.SII	1
e15_SIII.2	do26284	e15	SIII	18	26.04.18	449	3.8	16	1	18.SIII	1
e16_SI.2	do26285	e16	SI	8	26.04.18	445	2.4	8	1	8.SI	1
e16_SII.2	do26286	e16	SII	8	26.04.18	451	3.1	7	1	8.SII	1
e16_SIII.2	do26287	e16	SIII	8	26.04.18	440	2.9	6	1	8.SIII	1
e17_SI.2	do26288	e17	SI	35	27.04.18	507	15.8	35	1	35.SI	1
e17_SII.2	do26289	e17	SII	35	27.04.18	528	12.2	34	0	35.SII	0
e17_SIII.2	do26290	e17	SIII	35	27.04.18	543	7.82	33	1	35.SIII	1
e19_SI.2	do26294	e19	SI	25	20.05.18	504	9.12	25	1	25.SI	1
e19_SII.2	do26295	e19	SII	25	20.05.18	501	6.7	24	1	25.SII	1
e19_SIII.2	do26296	e19	SIII	25	20.05.18	518	9.94	23	1	25.SIII	1
e20_SI.2	do26297	e20	SI	25	20.05.18	446	3.9	25	1	25.SI	1
e20_SII.2	do26298	e20	SII	25	20.05.18	415	7.82	24	1	25.SII	1
